7,44
R A S ,4,0,0,111
,0,34,0,14
,0,35,0,110
,0,36,0,142
D D D ,0,37,0,345
,3,38,0,9
F D S ,0,0,0,279
,7,40,0,654
,6,41,0,4
,3,42,0,41
,6,43,0,10
,1,44,0,188
,5,45,0,103
,4,0,0,13
,6,0,0,13
,7,48,0,86
,2,49,0,1
,3,50,0,8
,1,0,0,1
,6,52,0,1
,6,0,0,18
G F D ,5,54,0,8
J H G ,2,55,0,13
,6,0,0,1
,2,0,0,19
,2,58,0,8
,6,59,0,13
,7,0,0,7
,5,61,0,59
,2,62,0,4
,3,63,0,33
,4,64,0,14
,4,65,0,1
,6,66,0,9
,3,67,0,150
,2,68,0,39
,6,69,0,8
,1,70,0,160
,5,71,0,8
,2,72,0,4
,4,73,0,19
,2,74,0,143
,6,75,0,6
,3,76,0,4
